window,parent,child,parent weight,child weight
365d,4274025,4209224,0.587210050332628,0.00705866411037858
365d,4274025,4279309,0.587210050332628,0.0062083284641931
365d,4274025,435524,0.587210050332628,0.00581041301415288
365d,4274025,140190,0.587210050332628,0.00544327728604646
365d,4274025,443723,0.587210050332628,0.00457323882713755
365d,4274025,4090739,0.587210050332628,0.00446113646480665
365d,4274025,4042837,0.587210050332628,0.00441872301858115
365d,4274025,4177703,0.587210050332628,0.00418310520342891
365d,4274025,4193506,0.587210050332628,0.00363361366339927
365d,4274025,433128,0.587210050332628,0.00346531790647883
365d,4274025,435244,0.587210050332628,0.00322729900854441
365d,4274025,4053838,0.587210050332628,0.0028944768062776
365d,4274025,4181204,0.587210050332628,0.00245390501688489
365d,4274025,433736,0.587210050332628,0.0023004733437739
365d,4274025,444201,0.587210050332628,0.00229866618410997
365d,4274025,4040388,0.587210050332628,0.00203287845101723
365d,4274025,137275,0.587210050332628,0.00164571128075773
365d,4274025,439658,0.587210050332628,0.00139747155415581
365d,4274025,444297,0.587210050332628,0.00133679290933732
365d,4274025,4024558,0.587210050332628,0.00122853892728301
365d,4274025,4335174,0.587210050332628,0.000986378292853062
365d,4274025,444202,0.587210050332628,0.000952727436678005
365d,4274025,4185470,0.587210050332628,0.000949745028055229
365d,4274025,442019,0.587210050332628,0.000938747318801898
365d,4274025,440508,0.587210050332628,0.000889387359710091
365d,4274025,442562,0.587210050332628,0.000718612633834831
365d,4274025,443404,0.587210050332628,0.000474650297800289
365d,4274025,436641,0.587210050332628,0.000467339429273085
365d,4274025,4179872,0.587210050332628,0.000395602210750103
365d,4274025,4299449,0.587210050332628,0.000270152742454518
365d,4274025,4086745,0.587210050332628,0.000253164951401293
365d,4274025,35622958,0.587210050332628,0.000242514477775546
365d,4274025,433527,0.587210050332628,0.000215943156484276
365d,4274025,4209223,0.587210050332628,0.000188396073732935
365d,4274025,4150614,0.587210050332628,0.000183839999339021
365d,4274025,37204336,0.587210050332628,0.00017110450139081
365d,4274025,4185471,0.587210050332628,0.0001307307079018
365d,4274025,43530975,0.587210050332628,0.000108845971554167
365d,4274025,4169984,0.587210050332628,0.000107704849481337
365d,4274025,441406,0.587210050332628,9.47729710078651e-05
365d,4274025,4266169,0.587210050332628,8.04410671756546e-05
365d,4274025,4324769,0.587210050332628,5.81843078974412e-05
365d,4274025,4206788,0.587210050332628,4.47659120927992e-05
365d,4274025,4105886,0.587210050332628,3.80909830022785e-05
365d,4274025,44782778,0.587210050332628,1.95155651470028e-05
365d,4274025,4320028,0.587210050332628,1.82648137201494e-05
365d,4274025,42709887,0.587210050332628,1.65027704232823e-05
365d,4274025,4180630,0.587210050332628,9.05513636310952e-06
365d,4274025,443403,0.587210050332628,5.94016945419984e-06
365d,4274025,4257441,0.587210050332628,2.89764363619505e-06
365d,4247371,4042836,0.117067144986497,0.0814860058759734
365d,4247371,4182161,0.117067144986497,0.0638252240466405
365d,4247371,4080992,0.117067144986497,0.0221827482130392
365d,4247371,4101796,0.117067144986497,0.0103507707712318
365d,4247371,378253,0.117067144986497,0.00785753552242688
365d,4247371,4087949,0.117067144986497,0.00581738263307191
365d,4247371,4116810,0.117067144986497,0.00371250699008555
365d,4247371,4230709,0.117067144986497,0.00319200371252488
365d,4247371,4091366,0.117067144986497,0.0027129498732027
365d,4247371,4331509,0.117067144986497,0.00166948921568583
365d,4247371,4167193,0.117067144986497,0.00045126858240541
365d,4247371,4353709,0.117067144986497,0.000180503036467052
365d,4247371,4086997,0.117067144986497,0.000138772881685331
365d,4247371,4080696,0.117067144986497,0.00013185658340095
365d,4247371,4012868,0.117067144986497,5.82167652693401e-05
365d,4227253,4096864,0.102189214723682,0.0594583093900935
365d,4227253,4103183,0.102189214723682,0.0247810197590997
